alpha_neural,variant,seed,accuracy,balanced_accuracy,macro_f1_13,regional_macro_f1,weighted_f1,mcc,ece_15,brier,worst_present_dialect_f1,examples
0.375,M1,4307,0.8750732564954092,0.7932306141055552,0.8083279332790637,0.7986326910832565,0.8738607760809578,0.8558744614429848,0.041013193673478096,0.1847262416272922,0.4397163120567376,10238.0
0.4,M0,1701,0.8735104512600117,0.7927474820972434,0.8100355184548556,0.8003719914508688,0.8723002729189718,0.8540631377082873,0.04420996388391695,0.1852484754423453,0.5,10238.0
0.4,M0,2903,0.8750732564954092,0.7903552938250745,0.8063338069834393,0.7962190539509346,0.8734989924048694,0.8558718986288069,0.04470743182325546,0.18357995716798095,0.4393939393939394,10238.0
0.4,M0,4307,0.8781988669662043,0.7899339574905728,0.8097161767236994,0.7997373276513914,0.8763410432588846,0.859421757868198,0.042192928435094285,0.18303994698067594,0.4122137404580153,10238.0
0.4,M1,1701,0.8762453604219574,0.7946028796372193,0.811206573125265,0.8015880157209793,0.8748148134785653,0.8572319152538743,0.041240760359360834,0.18289781357520887,0.4696969696969697,10238.0
0.4,M1,2903,0.8768314123852315,0.793807340122142,0.8120965937136493,0.8024750614735298,0.8755543983083179,0.857924263468757,0.04197247234062475,0.1832770298940894,0.4714285714285714,10238.0
0.4,M1,4307,0.875561633131471,0.7947550889251114,0.8097810991361709,0.8001403687390609,0.8744456221270187,0.8564483428645586,0.041634623131732496,0.1843312367704629,0.44755244755244755,10238.0
0.42500000000000004,M0,1701,0.8751709318226216,0.793032114984592,0.8111095924981544,0.8013365135296011,0.8739419607003704,0.8559694346354899,0.04636056622282117,0.18509679301850726,0.48951048951048953,10238.0
0.42500000000000004,M0,2903,0.8759523344403204,0.7911722232870204,0.8069626457034352,0.7969091390036409,0.8742968331456787,0.8568816318835913,0.04684885878667234,0.18335811029129612,0.42424242424242425,10238.0
0.42500000000000004,M0,4307,0.878101191638992,0.7894231575939801,0.8091518550543093,0.7990159713790558,0.8761588290423146,0.859297512179874,0.04323376743029033,0.18275601198902777,0.40601503759398494,10238.0
0.42500000000000004,M1,1701,0.8770267630396562,0.7950799599112528,0.8122425543891304,0.8025664645646309,0.8755841714128121,0.8581360491569552,0.04163468299177156,0.18262329566286378,0.4696969696969697,10238.0
0.42500000000000004,M1,2903,0.878101191638992,0.7956573332863369,0.8138978309686122,0.804342982614011,0.8768390305496716,0.859393785385279,0.043254504853894975,0.18305265088199238,0.4788732394366197,10238.0
0.42500000000000004,M1,4307,0.8764407110763821,0.7954298567051392,0.8106485955939099,0.8010715331540399,0.8753655707495913,0.857463709951262,0.0427461447675506,0.18408739261638443,0.43661971830985913,10238.0
0.45,M0,1701,0.874975581168197,0.7938632011711118,0.8113508362775982,0.8015336003518474,0.8737857985274179,0.855742121115173,0.04581653980382369,0.18510036945191982,0.5103448275862069,10238.0
0.45,M0,2903,0.8760500097675327,0.7922607482368534,0.8075982383477373,0.7975951067892484,0.8744347577440064,0.8569921733310099,0.04738140319509376,0.18329553614707375,0.43283582089552236,10238.0
0.45,M0,4307,0.8768314123852315,0.7885676487003889,0.8088406401560214,0.7987671302098572,0.8748521205579811,0.8578244824358457,0.04185161810023549,0.18262801590887073,0.40601503759398494,10238.0
0.45,M1,1701,0.8771244383668685,0.7955459558059594,0.812010529668503,0.8022726684021394,0.875725351924788,0.8582608828272767,0.041213760917670504,0.18250686965226212,0.4696969696969697,10238.0
