variant,true,predicted,rate
M2,CHI,NOA,0.0035158211953792064
M2,CHI,NSD,0.0020090406830738324
M2,CHI,RAJ,0.0
M2,CHI,RAN,0.0035158211953792064
M2,CHI,STD,0.009040683073832245
M2,CHI,SYL,0.008538422903063787
M2,CHI,TAN,0.0025113008538422904
M2,KHU,BAR,0.023255813953488372
M2,KHU,CHI,0.011627906976744186
M2,KHU,KHU,0.47674418604651164
M2,KHU,KIS,0.023255813953488372
M2,KHU,MYM,0.023255813953488372
M2,KHU,NAR,0.20930232558139536
M2,KHU,NOA,0.0
M2,KHU,NSD,0.011627906976744186
M2,KHU,RAJ,0.03488372093023256
M2,KHU,RAN,0.09302325581395349
M2,KHU,STD,0.08139534883720931
M2,KHU,SYL,0.0
M2,KHU,TAN,0.011627906976744186
M2,KIS,BAR,0.0075282308657465494
M2,KIS,CHI,0.018820577164366373
M2,KIS,KHU,0.0037641154328732747
M2,KIS,KIS,0.7503136762860728
M2,KIS,MYM,0.013801756587202008
M2,KIS,NAR,0.01756587202007528
M2,KIS,NOA,0.0075282308657465494
M2,KIS,NSD,0.060225846925972396
M2,KIS,RAJ,0.0
M2,KIS,RAN,0.015056461731493099
M2,KIS,STD,0.02258469259723965
M2,KIS,SYL,0.037641154328732745
M2,KIS,TAN,0.0451693851944793
M2,MYM,BAR,0.023178807947019868
M2,MYM,CHI,0.0033112582781456954
M2,MYM,KHU,0.0
M2,MYM,KIS,0.059602649006622516
M2,MYM,MYM,0.7582781456953642
M2,MYM,NAR,0.009933774834437087
M2,MYM,NOA,0.016556291390728478
M2,MYM,NSD,0.016556291390728478
M2,MYM,RAJ,0.0
M2,MYM,RAN,0.016556291390728478
M2,MYM,STD,0.046357615894039736
M2,MYM,SYL,0.04304635761589404
M2,MYM,TAN,0.006622516556291391
M2,NAR,BAR,0.005780346820809247
M2,NAR,CHI,0.011560693641618495
M2,NAR,KHU,0.009248554913294797
M2,NAR,KIS,0.028901734104046235
M2,NAR,MYM,0.008092485549132946
M2,NAR,NAR,0.7803468208092483
M2,NAR,NOA,0.0069364161849710965
M2,NAR,NSD,0.028901734104046235
M2,NAR,RAJ,0.0034682080924855483
M2,NAR,RAN,0.02080924855491329
M2,NAR,STD,0.040462427745664734
M2,NAR,SYL,0.01618497109826589
M2,NAR,TAN,0.039306358381502884
M2,NOA,BAR,0.019230769230769232
M2,NOA,CHI,0.16923076923076924
M2,NOA,KHU,0.011538461538461539
M2,NOA,KIS,0.0038461538461538464
M2,NOA,MYM,0.015384615384615385
M2,NOA,NAR,0.007692307692307693
M2,NOA,NOA,0.7230769230769231
M2,NOA,NSD,0.0
