candidate_id,dialect,rows,tokens,characters,bytes,unk_tokens,tokens_per_character,tokens_per_byte,mean_fertility,p95_tokens,roundtrip_exact_rate,canonical_roundtrip_exact_rate
byte_bpe_balanced_16k,TAN,519.0,11338.0,16576.0,44392.0,0.0,0.6840009652509652,0.25540637952784284,3.6121541467880585,47.0,1.0,1.0
byte_bpe_balanced_24k,BAR,739.0,14796.0,21239.0,57032.0,0.0,0.6966429681246763,0.25943330060317016,3.8034952830960957,34.0,1.0,1.0
byte_bpe_balanced_24k,CHI,3553.0,85221.0,124460.0,333974.0,0.0,0.6847260163908083,0.255172558342865,3.747240186738794,54.0,1.0,1.0
byte_bpe_balanced_24k,KHU,158.0,2644.0,3841.0,10237.0,0.0,0.6883624056235356,0.25827879261502396,3.5011854530841875,27.0,1.0,1.0
byte_bpe_balanced_24k,KIS,797.0,14600.0,21574.0,57984.0,0.0,0.676740520997497,0.2517935982339956,3.573550961579965,41.0,1.0,1.0
byte_bpe_balanced_24k,MYM,333.0,6797.0,9921.0,26631.0,0.0,0.6851123878641266,0.25522886861176824,3.706385939719273,36.0,1.0,1.0
byte_bpe_balanced_24k,NAR,945.0,19833.0,28545.0,76241.0,0.0,0.6947976878612717,0.2601356225652864,3.6414345700163717,45.0,1.0,1.0
byte_bpe_balanced_24k,NOA,265.0,5323.0,7717.0,20667.0,0.0,0.6897758196190229,0.2575603619296463,3.7038860719992797,32.79999999999998,1.0,1.0
byte_bpe_balanced_24k,NSD,576.0,13144.0,19520.0,52376.0,0.0,0.6733606557377049,0.2509546357110127,3.668901023768184,53.25,1.0,1.0
byte_bpe_balanced_24k,RAJ,91.0,1910.0,2671.0,7227.0,0.0,0.7150879820292025,0.264286702642867,4.006962634435162,40.0,1.0,1.0
byte_bpe_balanced_24k,RAN,767.0,15112.0,22124.0,59010.0,0.0,0.6830591213162177,0.25609218776478565,3.488879296103814,43.0,1.0,1.0
byte_bpe_balanced_24k,STD,126.0,2646.0,3783.0,10159.0,0.0,0.6994448850118953,0.2604587065656068,3.6145780366018467,41.75,1.0,1.0
byte_bpe_balanced_24k,SYL,1984.0,42550.0,61976.0,166836.0,0.0,0.6865560862269265,0.25504087846747703,3.918270994448816,53.0,1.0,1.0
byte_bpe_balanced_24k,TAN,519.0,11338.0,16576.0,44392.0,0.0,0.6840009652509652,0.25540637952784284,3.6121541467880585,47.0,1.0,1.0
byte_bpe_balanced_32k,BAR,739.0,14796.0,21239.0,57032.0,0.0,0.6966429681246763,0.25943330060317016,3.8034952830960957,34.0,1.0,1.0
byte_bpe_balanced_32k,CHI,3553.0,85221.0,124460.0,333974.0,0.0,0.6847260163908083,0.255172558342865,3.747240186738794,54.0,1.0,1.0
byte_bpe_balanced_32k,KHU,158.0,2644.0,3841.0,10237.0,0.0,0.6883624056235356,0.25827879261502396,3.5011854530841875,27.0,1.0,1.0
byte_bpe_balanced_32k,KIS,797.0,14600.0,21574.0,57984.0,0.0,0.676740520997497,0.2517935982339956,3.573550961579965,41.0,1.0,1.0
byte_bpe_balanced_32k,MYM,333.0,6797.0,9921.0,26631.0,0.0,0.6851123878641266,0.25522886861176824,3.706385939719273,36.0,1.0,1.0
byte_bpe_balanced_32k,NAR,945.0,19833.0,28545.0,76241.0,0.0,0.6947976878612717,0.2601356225652864,3.6414345700163717,45.0,1.0,1.0
byte_bpe_balanced_32k,NOA,265.0,5323.0,7717.0,20667.0,0.0,0.6897758196190229,0.2575603619296463,3.7038860719992797,32.79999999999998,1.0,1.0
byte_bpe_balanced_32k,NSD,576.0,13144.0,19520.0,52376.0,0.0,0.6733606557377049,0.2509546357110127,3.668901023768184,53.25,1.0,1.0
byte_bpe_balanced_32k,RAJ,91.0,1910.0,2671.0,7227.0,0.0,0.7150879820292025,0.264286702642867,4.006962634435162,40.0,1.0,1.0
byte_bpe_balanced_32k,RAN,767.0,15112.0,22124.0,59010.0,0.0,0.6830591213162177,0.25609218776478565,3.488879296103814,43.0,1.0,1.0
byte_bpe_balanced_32k,STD,126.0,2646.0,3783.0,10159.0,0.0,0.6994448850118953,0.2604587065656068,3.6145780366018467,41.75,1.0,1.0
byte_bpe_balanced_32k,SYL,1984.0,42550.0,61976.0,166836.0,0.0,0.6865560862269265,0.25504087846747703,3.918270994448816,53.0,1.0,1.0
byte_bpe_balanced_32k,TAN,519.0,11338.0,16576.0,44392.0,0.0,0.6840009652509652,0.25540637952784284,3.6121541467880585,47.0,1.0,1.0
